body, x, y, z
jupiter,4.6847,1.5768,-0.1114
saturn,7.1893,5.7693,-0.3863
uranus,13.9029,-14.2424,-0.2332
neptune,16.3091,-25.3311,0.1458
sun,0.0004,-0.0032,0.0000
jupiter,4.6754,1.6043,-0.1114
saturn,7.1755,5.7852,-0.3860
uranus,13.9130,-14.2330,-0.2333
neptune,16.3186,-25.3248,0.1454
sun,0.0004,-0.0032,0.0000
jupiter,4.6660,1.6316,-0.1113
saturn,7.1616,5.8010,-0.3857
uranus,13.9232,-14.2236,-0.2334
neptune,16.3282,-25.3185,0.1451
sun,0.0004,-0.0032,0.0000
jupiter,4.6564,1.6590,-0.1112
saturn,7.1476,5.8168,-0.3854
uranus,13.9334,-14.2142,-0.2335
neptune,16.3378,-25.3122,0.1447
sun,0.0004,-0.0033,0.0000
jupiter,4.6466,1.6862,-0.1110
saturn,7.1337,5.8326,-0.3851
uranus,13.9435,-14.2048,-0.2336
neptune,16.3473,-25.3058,0.1444
sun,0.0004,-0.0033,0.0000
jupiter,4.6367,1.7134,-0.1109
saturn,7.1197,5.8483,-0.3849
uranus,13.9537,-14.1953,-0.2337
neptune,16.3569,-25.2995,0.1440
sun,0.0005,-0.0033,0.0000
jupiter,4.6267,1.7406,-0.1108
saturn,7.1056,5.8640,-0.3846
uranus,13.9638,-14.1859,-0.2338
neptune,16.3665,-25.2932,0.1437
sun,0.0005,-0.0034,0.0000
jupiter,4.6165,1.7677,-0.1107
saturn,7.0915,5.8797,-0.3843
uranus,13.9739,-14.1765,-0.2339
neptune,16.3760,-25.2869,0.1433
sun,0.0005,-0.0034,0.0000
jupiter,4.6061,1.7947,-0.1106
saturn,7.0774,5.8954,-0.3840
uranus,13.9841,-14.1670,-0.2340
neptune,16.3856,-25.2805,0.1430
sun,0.0005,-0.0034,0.0000
jupiter,4.5956,1.8217,-0.1105
saturn,7.0633,5.9110,-0.3837
uranus,13.9942,-14.1575,-0.2340
neptune,16.3951,-25.2742,0.1426
sun,0.0005,-0.0035,0.0000
jupiter,4.5849,1.8487,-0.1103
saturn,7.0491,5.9266,-0.3834
uranus,14.0043,-14.1481,-0.2341
neptune,16.4047,-25.2679,0.1423
sun,0.0005,-0.0035,0.0000
